probe	gene
A_23_P136135	CHKA
A_23_P136173	CSF2RA
A_23_P136246	COX7B2
A_23_P136254	SGCD
A_23_P136371	NDST4
A_23_P136405	PDCD1
A_23_P136433	FGF1
A_23_P136493	NRG1
A_23_P136547	PIGG
A_23_P136552	PIGG
A_23_P136573	ST3GAL5
A_23_P136619	CA13
A_23_P136623	ADCY5
A_23_P136635	AP3B1
A_23_P136671	UGT2B7
A_23_P136683	HLA-DQB1
A_23_P137016	SAT1
A_23_P137057	SLC25A5
A_23_P13713	PRPH
A_23_P137139	BTK
A_23_P137157	RENBP
A_23_P137168	PLXNB3
A_23_P137196	IL13RA1
A_23_P137209	UBE1
A_23_P137366	C1QB
A_23_P137381	ID3
A_23_P137391	ENO1
A_23_P1374	PRKCQ
A_23_P137532	PLOD1
A_23_P137573	LEFTY2
A_23_P137697	SELP
A_23_P137765	PAFAH2
A_23_P137797	RYR2
A_23_P137806	MPL
A_23_P137814	ATP6V0B
A_23_P137896	OXCT2
A_23_P137909	HIST3H3
A_23_P137931	ADORA3
A_23_P138000	SEMA6C
A_23_P138089	MPZ
A_23_P138099	ABL2
A_23_P138194	NCF2
A_23_P138289	ITGA10
A_23_P138308	CD58
A_23_P138352	WNT2B
A_23_P138507	CDC2
A_23_P138541	AKR1C3
A_23_P138631	SMC3
A_23_P138655	CYP26A1
A_23_P138665	GLUD1
A_23_P138680	IL15RA
A_23_P138706	ADRA2A
A_23_P138760	CLCF1
A_23_P138776	ACP2
A_23_P138782	ACP2
A_23_P138796	AMOTL1
A_23_P138826	SYVN1
A_23_P138835	CAPN1
A_23_P138881	ACTN3
A_23_P138938	PGR
A_23_P138967	SDHD
A_23_P138985	CD3D
A_23_P13899	GAPDH
A_23_P139050	OR8D2
A_23_P13907	IGF1
A_23_P139099	OR4A15
A_23_P139123	SERPING1
A_23_P139143	STX3
A_23_P139162	CD6
A_23_P139192	GNG3
A_23_P139250	OR56B1
A_23_P139327	OR51E2
A_23_P139376	RPS3
A_23_P139418	GALNTL4
A_23_P139434	PRB2
A_23_P13946	SH2B3
A_23_P139471	RPS26
A_23_P139476	CD63
A_23_P139500	BHLHB3
A_23_P139527	HPD
A_23_P139547	TUBA1A
A_23_P139585	PDE1B
A_23_P139632	GNS
A_23_P139635	DAO
A_23_P139648	IAPP
A_23_P139654	KLRC1
A_23_P13969	PXN
A_23_P139704	DUSP6
A_23_P139722	TNFRSF1A
A_23_P13978	IRAK4
A_23_P139820	SLC11A2
